BusinessName,LicenseNumber,LicenseType,ServiceStreet,ServiceStreet2,ServiceUnitType,ServiceUnit,ServiceCity,ServiceCounty,ServiceState,ServiceZip,ServiceCountry,IssuedDate,MailingStreet,MailingStreet2,MailingUnitType,MailingUnit,MailingCity,MailingCounty,MailingState,MailingZip,MailingCountry
JAHETA JEWELRY,0861185,TPS,9160 E SHEA BLVD STE 112A,,STE,112A,SCOTTSDALE,MARICOPA,AZ,852606722,USA,2016-01-08 00:00:00,,,,,,,,,
CRAIG,1111854,TPS,6803 E MAIN ST UNIT 3302,,UNIT,3302,SCOTTSDALE,MARICOPA,AZ,852514362,USA,2015-12-11 00:00:00,7373 E DOUBLETREE RANCH RD STE 200,,STE,200,SCOTTSDALE,MARICOPA,AZ,852582037,USA
VAGABOND X-CHANGE,1126467,TPS,3882 W ASHTON DR  ,,,,ANTHEM,MARICOPA,AZ,850862773,USA,2016-05-02 00:00:00,,,,,,,,,
SPORTS IMPORTS INC,0929786,TPS,4000 PARKWAY LN  ,,,,HILLIARD,FRANKLIN,OH,430261231,USA,2015-12-07 00:00:00,PO BOX 21040  ,,,,COLUMBUS,FRANKLIN,OH,432210040,USA
SALON BOUTIQUE HAIR NAILS,1003669,TPS,9689 N HAYDEN RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852581800,USA,2014-12-16 00:00:00,8250 GAYLORD PKWY STE 3,,STE,3,FRISCO,COLLIN,TX,750348538,USA
THE COMPUTER HANDYMAN INC,1014364,TPS,4816 E KIRKLAND RD  ,,,,PHOENIX,MARICOPA,AZ,850546178,USA,2015-12-16 00:00:00,21001 N TATUM BLVD STE 1630,PMB 498,STE,1630,PHOENIX,MARICOPA,AZ,850504242,USA
USANA HEALTH SCIENCES INC,0921170,TPS,3838 PARKWAY BLVD  ,,,,SALT LAKE CITY,SALT LAKE,UT,841206336,USA,2016-01-27 00:00:00,3838 PARKWAY BLVD  ,,,,SALT LAKE CITY,SALT LAKE,UT,841206336,USA
DELTA DIVERSIFIED ENTERPRISES,0004819,TPS,425 W GEMINI DR  ,,,,TEMPE,MARICOPA,AZ,852831709,USA,2015-11-21 00:00:00,,,,,,,,,
24HR HOMECARE ARIZONA LLC,1108036,BOP,7201 E CAMELBACK RD STE 370,,STE,370,SCOTTSDALE,MARICOPA,AZ,852513325,USA,2018-01-24 00:00:00,,,,,,,,,
SARENA MANN STUDIOS INC,1124128,TPS,1751 BELLAMAH AVE NW  ,,,,ALBUQUERQUE,BERNALILLO,NM,871042207,USA,2016-02-16 00:00:00,PO BOX 614  ,,,,PLACITAS,SANDOVAL,NM,870430614,USA
AJ'S SIGNATURE SWIMMING POOLS,1094767,TPS,6917 E OSBORN RD UNIT C,,UNIT,C,SCOTTSDALE,MARICOPA,AZ,852516210,USA,2016-01-27 00:00:00,PO BOX 8430  ,,,,SCOTTSDALE,MARICOPA,AZ,852528430,USA
RISE DISPLAY,1061414,TPS,22109 W 83RD ST  ,,,,SHAWNEE,JOHNSON,KS,662273136,USA,2016-04-06 00:00:00,PO BOX 77240  ,,,,MISSISSAUGA,,ON,L5T2P4,CAN
CHAMBERS CLINIC,1053337,BOP,20801 N SCOTTSDALE RD STE 205,,STE,205,SCOTTSDALE,MARICOPA,AZ,852557411,USA,2018-01-26 00:00:00,,,,,,,,,
XXI SKIN,1134590,BOP,10247 N SCOTTSDALE RD STE 6,,STE,6,SCOTTSDALE,MARICOPA,AZ,852534553,USA,2018-07-18 00:00:00,,,,,,,,,
SUNCHAIN TANNING CENTER,1049800,TPS,7624 E INDIAN SCHOOL RD STE 105,,STE,105,SCOTTSDALE,MARICOPA,AZ,852513600,USA,2017-01-03 00:00:00,7624 E INDIAN SCHOOL RD STE 105-7,,STE,105-7,SCOTTSDALE,MARICOPA,AZ,852513600,USA
MG-PIMA LLC,1125444,TPS,14000 N PIMA RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852603944,USA,2016-03-25 00:00:00,4643 S ULSTER ST STE 1500,,STE,1500,DENVER,DENVER,CO,802372869,USA
CSI LEASING INC,1026115,TPS,14354 N FRANK LLOYD WRIGHT BLVD STE 14,,STE,14,SCOTTSDALE,MARICOPA,AZ,852608844,USA,2015-12-30 00:00:00,9990 OLD OLIVE STREET RD  ,,,,SAINT LOUIS,SAINT LOUIS,MO,631415904,USA
MARILYNN ANN ATKINSON LIVNIG T,1085746,TPS,3957 N BROWN AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852514409,USA,2015-12-11 00:00:00,PO BOX 2807  ,,,,SCOTTSDALE,MARICOPA,AZ,852522807,USA
BROWNHOUSE DESIGN LLC,1092172,TPS,202 W GORHAM ST  ,,,,MADISON,DANE,WI,537032015,USA,2015-12-14 00:00:00,,,,,,,,,
SCOTTSDALE MEDICAL IMAGING,1097618,BOP,20401 N 73RD ST STE 145,,STE,145,SCOTTSDALE,MARICOPA,AZ,852554148,USA,2018-01-29 00:00:00,9700 N 91ST ST STE C200,,STE,C200,SCOTTSDALE,MARICOPA,AZ,852585064,USA
DOANE,1109857,TPS,4702 N 70TH ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852511214,USA,2015-11-21 00:00:00,PO BOX 55  ,,,,SCOTTSDALE,MARICOPA,AZ,852520055,USA
SCOTTSDALE BRAIDS,1134023,BOP,11375 E SAHUARO DR APT 2097,,APT,2097,SCOTTSDALE,MARICOPA,AZ,852594087,USA,2018-02-22 00:00:00,,,,,,,,,
CHART INC,1009383,TPS,1 INFINITY CORPORATE CENTRE DR STE 300,,STE,300,CLEVELAND,CUYAHOGA,OH,441255370,USA,2016-01-04 00:00:00,,,,,,,,,
BRANSON ULTRASONICS INC,0137977,TPS,41 EAGLE RD  ,,,,DANBURY,FAIRFIELD,CT,068104127,USA,2015-12-16 00:00:00,,,,,,,,,
CHINA WOK CHINESE RESTAURANT,1078574,TPS,2334 N SCOTTSDALE RD STE 1010-B102,,STE,1010-B102,SCOTTSDALE,MARICOPA,AZ,852572130,USA,2015-11-21 00:00:00,2334 N SCOTTSDALE RD STE B101-B102,,STE,B101-B102,SCOTTSDALE,MARICOPA,AZ,852572130,USA
GIRLFRIENDS NAIL SALON LLC,1133097,BOP,7620 E MCKELLIPS RD STE 9,,STE,9,SCOTTSDALE,MARICOPA,AZ,852574600,USA,2017-12-05 00:00:00,2348 E CATALINA AVE  ,,,,MESA,MARICOPA,AZ,852042902,USA
SYNIVERSE TECHNOLOGIES LLC,1106735,TPS,8125 HIGHWOODS PALM WAY  ,,,,TAMPA,HILLSBOROUGH,FL,336471776,USA,2016-03-22 00:00:00,,,,,,,,,
SUN VALLEY SOLAR SOLUTIONS LLC,1122552,TPS,3225 N COLORADO ST  ,,,,CHANDLER,MARICOPA,AZ,852251101,USA,2016-01-04 00:00:00,,,,,,,,,
CORVETTE PERFORMANCE ARIZONA,1078744,TPS,2318 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852572160,USA,2015-12-30 00:00:00,4710 N AVENIDA DEL PUENTE  ,,,,PHOENIX,MARICOPA,AZ,850183807,USA
CDCG ASSET MANAGEMENT LLC,1121501,BOP,8585 E HARTFORD DR STE 118,,STE,118,SCOTTSDALE,MARICOPA,AZ,852555473,USA,2017-12-08 00:00:00,,,,,,,,,
CAMKAY CAPITAL MANAGEMENT LLC,1131601,BOP,7335 E ACOMA DR STE 204,,STE,204,SCOTTSDALE,MARICOPA,AZ,852603117,USA,2017-12-27 00:00:00,,,,,,,,,
SOUTHWEST PROPERTIES LLC,1065541,TPS,16674 N 91ST ST STE 106,,STE,106,SCOTTSDALE,MARICOPA,AZ,852602761,USA,2015-12-09 00:00:00,PO BOX 22511  ,,,,LINCOLN,LANCASTER,NE,685422511,USA
MTR BUILDERS INC,0910348,TPS,28316 N 92ND PL  ,,,,SCOTTSDALE,MARICOPA,AZ,852622365,USA,2015-12-03 00:00:00,,,,,,,,,
LUTRON ELECTRONICS CO INC,1083630,TPS,7200 SUTER RD  ,,,,COOPERSBURG,LEHIGH,PA,180361249,USA,2015-12-30 00:00:00,,,,,,,,,
EAST EVANS ROAD LLC,0936877,TPS,7745 E EVANS RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852603409,USA,2015-12-08 00:00:00,34 COUNTRY GLEN RD  ,,,,FALLBROOK,SAN DIEGO,CA,920289231,USA
BCI GENERAL CONTRACTORS LLC,1071795,TPS,1710 E INDIAN SCHOOL RD STE 104,,STE,104,PHOENIX,MARICOPA,AZ,850165948,USA,2011-12-08 00:00:00,7729 N VIA DE LA MONTANA  ,,,,SCOTTSDALE,MARICOPA,AZ,852583304,USA
GREEN LIVING MAGAZINE,1105324,TPS,7575 E REDFIELD RD STE 219,,STE,219,SCOTTSDALE,MARICOPA,AZ,852603928,USA,2015-12-22 00:00:00,,,,,,,,,
OCATAFORM INC,1121657,TPS,6351 HINSON ST STE L,,STE,L,LAS VEGAS,CLARK,NV,891186853,USA,2016-05-09 00:00:00,,,,,,,,,
BREINHOLT CONTRACTING CO INC,0143163,TPS,2915 W PIMA ST  ,,,,PHOENIX,MARICOPA,AZ,850096311,USA,2016-01-12 00:00:00,1955 W COMMERCE AVE  ,,,,GILBERT,MARICOPA,AZ,852334001,USA
OFF THE HOOK FISH N TACOS,1123235,TPS,12890 N 86TH LN  ,,,,PEORIA,MARICOPA,AZ,853818140,USA,2016-01-25 00:00:00,,,,,,,,,
BIDDLE & BROWN FENCE CO LLC,1071887,TPS,895 W ELWOOD ST BLDG 2,,BLDG,2,PHOENIX,MARICOPA,AZ,850411102,USA,2015-12-09 00:00:00,,,,,,,,,
EVOLUTION SEALANTS LLC,1106123,TPS,1930 E 3RD ST STE 19,,STE,19,TEMPE,MARICOPA,AZ,852812929,USA,2016-01-04 00:00:00,,,,,,,,,
AUTOHAUS OF NORTH SCOTTSDALE,1050548,TPS,9550 N 90TH ST STE B101,,STE,B101,SCOTTSDALE,MARICOPA,AZ,852585379,USA,2015-12-17 00:00:00,,,,,,,,,
CREATIVE HEALING SOLUTIONS,1106356,TPS,14300 N NORTHSIGHT BLVD STE 217,,STE,217,SCOTTSDALE,MARICOPA,AZ,852603677,USA,2015-12-04 00:00:00,12223 N DESERT SAGE DR UNIT 2,,UNIT,2,FOUNTAIN HILLS,MARICOPA,AZ,852684714,USA
NATURES WONDER LLC,1121431,TPS,4795 WILLOW GLEN DR  ,,,,LAS VEGAS,CLARK,NV,891475261,USA,2015-12-23 00:00:00,8550 W DESERT INN RD STE 102481,,STE,102481,LAS VEGAS,CLARK,NV,891172120,USA
PAIN STOP NORTH SCOTTSDALE,1087550,BOP,8952 E DESERT COVE DR STE 105,,STE,105,SCOTTSDALE,MARICOPA,AZ,852606776,USA,2017-12-12 00:00:00,,,,,,,,,
DAVIS LIMITED,1092338,BOP,11111 N SCOTTSDALE RD STE 225,,STE,225,SCOTTSDALE,MARICOPA,AZ,852546732,USA,2017-05-05 00:00:00,,,,,,,,,
ZEBRA FAMILY TRUST,1133742,BOP,6938 E 1ST ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852515355,USA,2017-12-29 00:00:00,810 W HOWE ST  ,,,,TEMPE,MARICOPA,AZ,852815428,USA
DOXIMITY INC,1131350,TPS,500 3RD ST STE 510,,STE,510,SAN FRANCISCO,SAN FRANCISCO,CA,941076803,USA,2016-11-01 00:00:00,,,,,,,,,
9527 E VERDE GROVE LLC,1111560,TPS,9527 E VERDE GROVE VW  ,,,,SCOTTSDALE,MARICOPA,AZ,852556075,USA,2015-12-08 00:00:00,15 E GLENN DR  ,,,,PHOENIX,MARICOPA,AZ,850204825,USA
COMPACT POWER EQUIPMENT SERVIC,1113500,TPS,3310 HIGHWAY 51 N  ,,,,FORT MILL,YORK,SC,297158348,USA,2015-12-23 00:00:00,PO BOX 789  ,,,,FORT MILL,YORK,SC,297160789,USA
AVA N YELLEN DC,0082448,BOP,3940 N MILLER RD STE G,,STE,G,SCOTTSDALE,MARICOPA,AZ,852514539,USA,2017-12-19 00:00:00,3940 N MILLER RD STE G,,STE,G,SCOTTSDALE,MARICOPA,AZ,852514539,USA
BARCO INC,1055900,TPS,3059 PREMIERE PKWY STE 400,,STE,400,DULUTH,GWINNETT,GA,300974905,USA,2016-01-13 00:00:00,,,,,,,,,
OUTLAW THREADZ,1125575,TPS,2883 E LA PALMA AVE  ,,,,ANAHEIM,ORANGE,CA,928062419,USA,2016-03-29 00:00:00,,,,,,,,,
MOTOROLA SOLUTIONS INC,0001282,TPS,8201 E MCDOWELL RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852573893,USA,2016-03-21 00:00:00,500 W MONROE ST FL 44TH,,FL,44TH,CHICAGO,COOK,IL,606613671,USA
HPN GLOBAL LLC,1054024,BOP,13825 N NORTHSIGHT BLVD STE 201,,STE,201,SCOTTSDALE,MARICOPA,AZ,852603703,USA,2018-01-24 00:00:00,13825 N NORTHSIGHT BLVD STE 201,,STE,201,SCOTTSDALE,MARICOPA,AZ,852603703,USA
CREST GOOD MFG CO INC,1064675,TPS,90 GORDON DR STE A,,STE,A,SYOSSET,NASSAU,NY,117914718,USA,2015-12-30 00:00:00,,,,,,,,,
WEST STAR AVIATION LLC,1134451,BOP,8014 E MCCLAIN DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852601328,USA,2018-06-08 00:00:00,2 AIRLINE CT  ,,,,EAST ALTON,MADISON,IL,620242284,USA
SEAVEY VINEYARD,1100506,TPS,1310 CONN VALLEY RD  ,,,,SAINT HELENA,NAPA,CA,945749610,USA,2015-11-21 00:00:00,,,,,,,,,
MARKETING STRATEGIES GROUP INC,1069445,TPS,40 W SILVERDOME INDUSTRIAL PARK  ,,,,PONTIAC,OAKLAND,MI,483422993,USA,2015-11-21 00:00:00,,,,,,,,,
SIMPLE HEALING PHYSICAL THERAP,1134854,BOP,10601 N HAYDEN RD STE I108B,,STE,I108B,SCOTTSDALE,MARICOPA,AZ,852605687,USA,2018-09-26 00:00:00,,,,,,,,,
CLASSY JAZZY,1070796,TPS,20567 N HAYDEN RD STE 115,,STE,115,SCOTTSDALE,MARICOPA,AZ,852553880,USA,2015-12-10 00:00:00,3147 E LINCOLN DR STE A,,STE,A,PHOENIX,MARICOPA,AZ,850162317,USA
GTM SPORTSWEAR,1061847,TPS,520 MCCALL RD  ,,,,MANHATTAN,POTTAWATOMIE,KS,665027098,USA,2016-01-06 00:00:00,,,,,,,,,
OASIS CAFE LLC,1056685,TPS,4441 N BUCKBOARD TRL  ,,,,SCOTTSDALE,MARICOPA,AZ,852513409,USA,2016-01-06 00:00:00,20100 N 51ST AVE STE B240,,STE,B240,GLENDALE,MARICOPA,AZ,853085147,USA
HIGH DESERT COMMUNICATIONS INC,0138805,TPS,372 W CULLUMBER AVE  ,,,,GILBERT,MARICOPA,AZ,852334931,USA,2015-12-18 00:00:00,,,,,,,,,
C & N ROOFING INC,1069231,TPS,2724 W PALM LN  ,,,,PHOENIX,MARICOPA,AZ,850092603,USA,2011-11-24 00:00:00,601 E BROADWAY RD  ,,,,PHOENIX,MARICOPA,AZ,850402203,USA
HAND AND STONE MASSAGE SPA,1019000,TPS,15233 N 87TH ST STE 100,,STE,100,SCOTTSDALE,MARICOPA,AZ,852602647,USA,2015-12-28 00:00:00,PO BOX 20257  ,,,,FOUNTAIN HILLS,MARICOPA,AZ,852690257,USA
KAMF SCOTTSDALE LLC,1028733,TPS,7331 E OSBORN DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852516418,USA,2015-12-16 00:00:00,500 W WILSON BRIDGE RD STE 145,,STE,145,WORTHINGTON,FRANKLIN,OH,430852272,USA
PG NNN FUND 2007 LLC,1082610,TPS,7501 E MONTE CRISTO AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852601638,USA,2015-12-23 00:00:00,1148 ALPINE RD STE 100,,STE,100,WALNUT CREEK,CONTRA COSTA,CA,945964444,USA
BOB'S CONSTRUCTION,1017969,TPS,901 E SANDRA TER  ,,,,PHOENIX,MARICOPA,AZ,850222634,USA,2015-12-28 00:00:00,,,,,,,,,
SICKY LLC,1115167,TPS,10493 E RIMROCK DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852557120,USA,2016-01-06 00:00:00,PO BOX 6161  ,,,,SCOTTSDALE,MARICOPA,AZ,852616161,USA
TE FISHER REALTY LLC,1073224,TPS,7410 E PINNACLE PEAK RD STE 116,,STE,116,SCOTTSDALE,MARICOPA,AZ,852553612,USA,2015-12-23 00:00:00,,,,,,,,,
RHINOGRAM LLC,1133879,BOP,12746 E POINSETTIA DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852593427,USA,2018-01-24 00:00:00,2158 NORTHGATE PARK LN STE 220,,STE,220,CHATTANOOGA,HAMILTON,TN,374156911,USA
MERIDIAN LIFE SCIENCE INC,1112964,TPS,5171 WILFONG RD  ,,,,MEMPHIS,SHELBY,TN,381345611,USA,2016-01-05 00:00:00,3471 RIVER HILLS DR  ,,,,CINCINNATI,HAMILTON,OH,452443023,USA
CHAMPION BUILT CONTRACTING INC,1103974,TPS,2622 E DESERT LN  ,,,,GILBERT,MARICOPA,AZ,852342816,USA,2015-12-29 00:00:00,,,,,,,,,
ALPHA AND OMEGA RESEARCH INSTI,1133992,BOP,9700 N 91ST ST STE A115,,STE,A115,SCOTTSDALE,MARICOPA,AZ,852585036,USA,2018-02-14 00:00:00,3260 N HAYDEN RD STE 210,,STE,210,SCOTTSDALE,MARICOPA,AZ,852516651,USA
YARDBIRDS,1124915,TPS,6228 STRAWBERRY LN  ,,,,LOUISVILLE,JEFFERSON,KY,402142929,USA,2016-03-08 00:00:00,,,,,,,,,
FRIEDMAN PROPERTIES LLC,0881858,TPS,9220 E VEREDA SOLANA DR  ,,,,SCOTTSDALE,MARICOPA,AZ,852553655,USA,2015-12-23 00:00:00,,,,,,,,,
SHIRVANI KENAREKI GRISH,0126950,TPS,2727 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852571348,USA,2007-12-10 00:00:00,3440 EMERALD ISLE DR  ,,,,GLENDALE,LOS ANGELES,CA,912061115,USA
AMAYA CONSTRUCTION & REMODELIN,1125293,TPS,8937 W OSBORN RD  ,,,,PHOENIX,MARICOPA,AZ,850372631,USA,2016-03-22 00:00:00,,,,,,,,,
BRAINLAB INC,1076818,TPS,3 WESTBROOK CORPORATE CTR STE 400,,STE,400,WESTCHESTER,COOK,IL,601545730,USA,2015-12-11 00:00:00,5 WESTBROOK CORPORATE CTR STE 1000,,STE,1000,WESTCHESTER,COOK,IL,601545766,USA
PHILLIP AND GAIL ROBINSON,1111024,TPS,7575 E INDIAN BEND RD APT 2062,,APT,2062,SCOTTSDALE,MARICOPA,AZ,852504678,USA,2015-12-30 00:00:00,7025 W BELL RD STE 10,,STE,10,GLENDALE,MARICOPA,AZ,853088543,USA
THE S J ANDERSON COMPANY,1087961,TPS,4064 E PRESIDIO ST STE 101,,STE,101,MESA,MARICOPA,AZ,852151119,USA,2015-12-09 00:00:00,PO BOX 15165  ,,,,PHOENIX,MARICOPA,AZ,850605165,USA
PETER JORDAN PHOTOGRAPHY INC,0120432,TPS,4014 N REDDELL AVE  ,,,,SCOTTSDALE,MARICOPA,AZ,852514531,USA,2015-12-14 00:00:00,,,,,,,,,
BLUEHILLS GLASS & BEADS,1129179,TPS,7002 E CHOLLA ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852545119,USA,2016-08-12 00:00:00,,,,,,,,,
LEGACY INNOVATIONS DEVELOPMENT,1121224,TPS,7979 S DOLPHIN WAY  ,,,,TUCSON,PIMA,AZ,857569350,USA,2018-03-21 00:00:00,,,,,,,,,
SWEATMORE V LLC,1103752,TPS,15220 N 78TH WAY  ,,,,SCOTTSDALE,MARICOPA,AZ,852602596,USA,2015-12-16 00:00:00,,,,,,,,,
WIDEFIELD TECHNOLOGY INC,1132597,BOP,18245 N PIMA RD APT 2011,,APT,2011,SCOTTSDALE,MARICOPA,AZ,852556368,USA,2017-12-12 00:00:00,9393 N 90TH ST STE 102-149,,STE,102-149,SCOTTSDALE,MARICOPA,AZ,852585040,USA
OVERHEAD DOOR CORPORATION,1113463,TPS,2501 S STATE HIGHWAY 121 STE 200,,STE,200,LEWISVILLE,,TX,750670000,USA,2015-12-18 00:00:00,,,,,,,,,
GLASSTIC BOTTLE CO,1120985,TPS,8240 E GELDING DR STE 115,,STE,115,SCOTTSDALE,MARICOPA,AZ,852603651,USA,2016-01-27 00:00:00,,,,,,,,,
PARTY MART,1125507,TPS,10626 N 71ST PL  ,,,,SCOTTSDALE,MARICOPA,AZ,852545202,USA,2016-03-28 00:00:00,,,,,,,,,
DRESS TO KILL,1121740,TPS,15500 ERWIN ST STE 1089,,STE,1089,VAN NUYS,LOS ANGELES,CA,914111027,USA,2016-06-01 00:00:00,,,,,,,,,
DECORVA DESIGN LLC,1127451,TPS,11438 N 71ST ST  ,,,,SCOTTSDALE,MARICOPA,AZ,852545107,USA,2016-06-09 00:00:00,,,,,,,,,
ATHENA'S WINDOW FASHIONS,1088092,TPS,690 E WARNER RD STE 155,,STE,155,GILBERT,MARICOPA,AZ,852963059,USA,2015-12-16 00:00:00,,,,,,,,,
OLD NAVY #6128,0918376,TPS,16215 N SCOTTSDALE RD  ,,,,SCOTTSDALE,MARICOPA,AZ,852541522,USA,2015-12-22 00:00:00,PO BOX 27834  ,,,,ALBUQUERQUE,BERNALILLO,NM,871257834,USA
ANTI PESTO REAL ESTATE HOLDING,1068296,TPS,7400 E MCDONALD DR STE 101,,STE,101,SCOTTSDALE,MARICOPA,AZ,852506099,USA,2015-12-23 00:00:00,PO BOX 10  ,,,,SCOTTSDALE,MARICOPA,AZ,852520010,USA
HEALTH ENDEAVORS,1080682,BOP,8955 E PINNACLE PEAK RD STE 103,,STE,103,SCOTTSDALE,MARICOPA,AZ,852553624,USA,2018-01-04 00:00:00,,,,,,,,,
DOUGLAS F BEHM PLLC,1134489,BOP,14362 N FRANK LLOYD WRIGHT BLVD STE 1000,,STE,1000,SCOTTSDALE,MARICOPA,AZ,852608847,USA,2018-06-20 00:00:00,,,,,,,,,
GENESIS REAL PROPERTY HOLDINGS,1098855,TPS,7575 E INDIAN BEND RD APT 2018,,APT,2018,SCOTTSDALE,MARICOPA,AZ,852504666,USA,2015-01-23 00:00:00,4381 N 75TH ST STE 201,,STE,201,SCOTTSDALE,MARICOPA,AZ,852513557,USA
GRAYDS INC,1117782,TPS,8096 N 85TH WAY STE 101,,STE,101,SCOTTSDALE,MARICOPA,AZ,852584322,USA,2015-12-30 00:00:00,8220 E BUENA TERRA WAY  ,,,,SCOTTSDALE,MARICOPA,AZ,852506610,USA
